OrderID,OrderDate,StoreID,ProductID,CustomerID,ProductCategory,Quantity,UnitPrice,TotalAmount,PaymentMethod
1,2024-11-23,S001,P103,C1759,Grocery,4,338.7,1354.8,Credit Card
2,2024-12-12,S001,P175,C1432,Electronics,1,145.07,145.07,Cash
3,2024-09-15,S001,P171,C1203,Beauty,9,632.18,5689.62,Debit Card
4,2024-10-28,S003,P100,C1777,Clothing,7,513.67,3595.69,Cash
5,2024-04-20,S003,P113,C1094,Home Decor,2,541.67,1083.34,UPI
6,2024-11-05,S003,P105,C1747,Home Decor,9,191.62,1724.58,Debit Card
7,2024-02-10,S003,P180,C1633,Grocery,10,292.47,2924.7,Credit Card
8,2024-01-24,S002,P198,C1296,Electronics,4,1300.39,5201.56,Debit Card
9,2024-05-22,S004,P181,C1854,Grocery,3,558.42,1675.26,Cash
10,2024-12-09,S003,P189,C1959,Beauty,2,915.65,1831.3,Cash
11,2024-09-30,S002,P120,C1473,Home Decor,5,1484.34,7421.7,Net Banking
12,2024-04-22,S003,P198,C1794,Electronics,4,1233.59,4934.36,UPI
13,2024-07-24,S003,P108,C1216,Sports,6,322.88,1937.28,Debit Card
14,2024-07-21,S004,P118,C1271,Clothing,4,1118.76,4475.04,Net Banking
15,2024-05-14,S004,P174,C1408,Grocery,4,1496.0,5984.0,Cash
16,2024-09-17,S004,P111,C1773,Electronics,2,233.5,467.0,Cash
17,2024-12-14,S004,P176,C1065,Home Decor,7,895.85,6270.95,Debit Card
18,2024-09-27,S003,P170,C1881,Electronics,2,1024.16,2048.32,Net Banking
19,2024-05-16,S003,P114,C1300,Home Decor,3,683.32,2049.96,UPI
20,2024-09-13,S002,P164,C1934,Electronics,5,1263.3,6316.5,Net Banking
21,2024-11-07,S002,P119,C1382,Clothing,9,1430.48,12874.32,Net Banking
22,2024-01-01,S003,P162,C1019,Electronics,6,1318.69,7912.14,UPI
23,2024-05-02,S001,P130,C1899,Sports,2,133.05,266.1,Debit Card
24,2024-02-05,S002,P116,C1675,Home Decor,9,251.86,2266.74,Net Banking
25,2024-11-06,S004,P127,C1951,Sports,4,1070.86,4283.44,Debit Card
26,2024-12-09,S003,P156,C1921,Sports,8,185.9,1487.2,Cash
27,2024-02-02,S003,P102,C1602,Sports,4,884.72,3538.88,Credit Card
28,2024-02-06,S001,P129,C1069,Electronics,6,110.93,665.58,Cash
29,2024-05-22,S004,P127,C1552,Clothing,10,866.44,8664.4,Cash
30,2024-08-30,S004,P124,C1096,Electronics,7,534.67,3742.69,Debit Card
31,2024-08-27,S001,P186,C1669,Beauty,2,95.62,191.24,UPI
32,2024-02-25,S002,P124,C1194,Sports,8,214.57,1716.56,Cash
33,2024-05-22,S004,P131,C1895,Electronics,8,1212.99,9703.92,Net Banking
34,2024-02-20,S001,P183,C1553,Electronics,2,1389.92,2779.84,Cash
35,2024-03-26,S004,P162,C1492,Clothing,7,1354.15,9479.05,Cash
36,2024-07-13,S001,P149,C1271,Home Decor,5,637.4,3187.0,Net Banking
37,2024-12-04,S004,P119,C1194,Grocery,4,1453.22,5812.88,Net Banking
38,2024-10-04,S001,P195,C1321,Electronics,1,878.35,878.35,Net Banking
39,2024-09-28,S002,P107,C1983,Sports,2,1277.76,2555.52,Credit Card
40,2024-10-31,S001,P186,C1882,Clothing,7,184.23,1289.61,Net Banking
41,2024-05-06,S001,P179,C1083,Home Decor,10,850.01,8500.1,UPI
42,2024-05-13,S002,P185,C1733,Grocery,4,402.09,1608.36,Cash
43,2024-12-09,S003,P158,C1323,Electronics,1,690.14,690.14,Net Banking
44,2024-02-21,S001,P168,C1218,Sports,5,203.02,1015.1,UPI
45,2024-02-05,S002,P147,C1291,Clothing,8,1251.45,10011.6,UPI
46,2024-11-09,S001,P185,C1836,Sports,5,1397.98,6989.9,Credit Card
47,2024-03-09,S003,P114,C1911,Electronics,9,237.39,2136.51,UPI
48,2024-11-05,S002,P191,C1351,Clothing,5,760.59,3802.95,UPI
49,2024-01-27,S001,P181,C1433,Grocery,1,10.3,10.3,Cash
50,2024-11-22,S003,P120,C1759,Home Decor,9,1059.97,9539.73,Net Banking
51,2024-01-05,S001,P109,C1967,Beauty,3,820.66,2461.98,UPI
52,2024-10-25,S002,P155,C1130,Electronics,5,550.15,2750.75,Credit Card
53,2024-07-02,S002,P187,C1255,Beauty,2,533.75,1067.5,Net Banking
54,2024-07-27,S002,P130,C1885,Clothing,3,1322.72,3968.16,Credit Card
55,2024-04-01,S003,P152,C1821,Beauty,4,403.87,1615.48,Credit Card
56,2024-07-14,S001,P160,C1227,Clothing,8,527.74,4221.92,Cash
57,2024-04-24,S001,P184,C1197,Home Decor,6,421.51,2529.06,Credit Card
58,2024-05-22,S003,P182,C1521,Home Decor,9,500.07,4500.63,Credit Card
59,2024-02-29,S003,P122,C1594,Grocery,1,167.06,167.06,Debit Card
60,2024-06-25,S003,P155,C1620,Sports,2,580.87,1161.74,Net Banking
61,2024-04-07,S003,P105,C1725,Home Decor,1,782.28,782.28,Net Banking
62,2024-12-17,S002,P146,C1441,Electronics,6,936.62,5619.72,Credit Card
63,2024-06-02,S003,P185,C1418,Grocery,7,1047.33,7331.31,Net Banking
64,2024-03-06,S002,P153,C1680,Home Decor,3,925.19,2775.57,UPI
65,2024-07-26,S001,P138,C1293,Clothing,7,1179.71,8257.97,Net Banking
66,2024-12-01,S003,P159,C1452,Home Decor,4,769.21,3076.84,Cash
67,2024-12-03,S001,P136,C1527,Beauty,10,506.11,5061.1,Cash
68,2024-12-10,S003,P128,C1825,Clothing,3,41.52,124.56,Cash
69,2024-08-31,S001,P158,C1424,Beauty,10,295.68,2956.8,Debit Card
70,2024-09-10,S004,P131,C1151,Beauty,1,1339.53,1339.53,Credit Card
71,2024-08-05,S002,P122,C1823,Beauty,9,699.5,6295.5,Net Banking
72,2024-05-07,S001,P158,C1136,Home Decor,9,1481.9,13337.1,Net Banking
73,2024-06-11,S004,P178,C1834,Beauty,9,642.98,5786.82,Net Banking
74,2024-08-16,S002,P195,C1882,Home Decor,8,392.49,3139.92,Cash
75,2024-11-22,S003,P198,C1796,Sports,8,941.99,7535.92,UPI
