OrderID,OrderDate,StoreID,ProductID,Quantity,Price,TotalAmount,PaymentMethod
1,2025-03-05,S002,P196,5,48.43,242.15,Debit Card
2,2024-08-31,S003,P160,6,446.07,2676.42,Debit Card
3,2025-06-05,S002,P159,10,266.54,2665.4,Debit Card
4,2024-12-02,S001,P174,3,722.86,2168.58,UPI
5,2025-04-23,S002,P145,9,494.73,4452.57,UPI
6,2025-06-03,S001,P178,1,716.98,716.98,UPI
7,2025-02-14,S001,P122,1,357.83,357.83,Credit Card
8,2025-05-10,S001,P190,4,89.04,356.16,Debit Card
9,2024-08-22,S003,P188,6,521.76,3130.56,Credit Card
10,2025-03-26,S002,P122,7,911.86,6383.02,Cash
11,2025-05-22,S001,P103,3,458.64,1375.92,UPI
12,2025-05-17,S003,P119,6,962.42,5774.52,Cash
13,2024-08-15,S003,P182,4,537.52,2150.08,Debit Card
14,2024-11-25,S002,P107,10,581.97,5819.7,Credit Card
15,2024-08-19,S003,P198,5,844.28,4221.4,Cash
16,2025-04-23,S001,P138,8,978.81,7830.48,Debit Card
17,2025-02-09,S002,P163,3,801.89,2405.67,UPI
18,2025-02-17,S003,P188,5,698.09,3490.45,Credit Card
19,2024-08-18,S001,P123,9,233.51,2101.59,Credit Card
20,2024-11-14,S001,P122,7,553.1,3871.7,Credit Card
21,2025-06-19,S001,P190,9,752.22,6769.98,Cash
22,2025-02-24,S002,P110,1,607.63,607.63,Credit Card
23,2025-04-09,S001,P100,4,301.79,1207.16,Cash
24,2025-02-27,S002,P139,6,675.78,4054.68,Debit Card
25,2024-09-26,S003,P117,3,559.27,1677.81,Cash
26,2024-10-29,S001,P160,6,67.65,405.9,Cash
27,2025-04-19,S001,P173,2,992.89,1985.78,Credit Card
28,2024-09-20,S002,P172,6,828.95,4973.7,UPI
29,2025-01-27,S002,P111,5,61.23,306.15,UPI
30,2025-04-10,S003,P153,10,604.13,6041.3,Cash
31,2024-10-25,S003,P100,4,122.3,489.2,Cash
32,2024-07-26,S003,P146,7,417.85,2924.95,Cash
33,2025-01-31,S001,P154,6,770.72,4624.32,Debit Card
34,2024-12-08,S001,P184,9,485.53,4369.77,Credit Card
35,2025-04-30,S002,P153,10,468.2,4682.0,Credit Card
36,2024-10-04,S001,P195,3,529.24,1587.72,UPI
37,2025-02-24,S002,P155,5,205.0,1025.0,Cash
38,2025-03-30,S002,P123,7,83.65,585.55,Cash
39,2025-04-18,S001,P141,5,764.63,3823.15,Credit Card
40,2024-12-27,S001,P195,8,133.7,1069.6,Debit Card
41,2025-04-19,S002,P116,9,269.19,2422.71,Credit Card
42,2024-10-11,S002,P124,9,982.76,8844.84,Credit Card
43,2025-03-21,S002,P143,1,364.67,364.67,UPI
44,2025-01-27,S001,P151,8,915.51,7324.08,Cash
45,2025-01-15,S003,P186,4,790.27,3161.08,Cash
46,2025-03-16,S001,P181,3,122.02,366.06,Debit Card
47,2025-05-31,S003,P180,2,716.85,1433.7,Cash
48,2025-05-03,S002,P177,4,713.37,2853.48,Credit Card
49,2024-12-07,S001,P190,3,586.28,1758.84,Cash
50,2024-12-09,S001,P124,10,764.14,7641.4,Credit Card
51,2025-04-27,S003,P140,7,817.78,5724.46,Debit Card
52,2024-08-11,S001,P181,10,640.65,6406.5,UPI
53,2025-01-19,S002,P125,4,327.56,1310.24,Cash
54,2024-10-25,S003,P159,6,133.25,799.5,UPI
55,2024-12-10,S001,P177,10,81.39,813.9,Credit Card
56,2024-10-13,S001,P139,1,569.11,569.11,Debit Card
57,2025-06-30,S003,P152,3,89.5,268.5,Credit Card
58,2024-12-05,S002,P174,6,515.43,3092.58,Cash
59,2024-07-19,S001,P156,9,505.78,4552.02,Cash
60,2025-03-31,S002,P188,3,313.91,941.73,Cash
61,2025-06-08,S003,P152,2,543.9,1087.8,UPI
62,2025-04-16,S002,P187,7,212.32,1486.24,Debit Card
63,2024-09-18,S001,P195,6,860.62,5163.72,Debit Card
64,2025-05-12,S002,P194,6,261.58,1569.48,Cash
65,2025-02-03,S001,P100,2,279.49,558.98,UPI
66,2024-11-27,S002,P182,10,727.88,7278.8,UPI
67,2025-04-27,S002,P174,7,546.37,3824.59,Cash
68,2025-03-21,S002,P134,3,617.24,1851.72,UPI
69,2025-04-09,S002,P156,3,80.85,242.55,Cash
70,2025-01-10,S002,P135,4,500.17,2000.68,Credit Card
71,2025-03-16,S001,P125,4,628.52,2514.08,Credit Card
72,2024-09-17,S002,P158,1,191.21,191.21,UPI
73,2024-11-16,S001,P135,9,664.37,5979.33,Cash
74,2025-03-09,S002,P190,2,690.08,1380.16,Cash
75,2024-07-14,S003,P190,4,892.74,3570.96,UPI
76,2025-03-09,S002,P196,5,687.68,3438.4,Credit Card
77,2025-03-10,S002,P189,5,56.74,283.7,Cash
78,2025-04-21,S002,P108,10,73.55,735.5,Credit Card
79,2025-04-25,S003,P108,9,72.79,655.11,UPI
80,2025-01-04,S003,P100,1,444.36,444.36,Debit Card
81,2024-09-27,S003,P117,3,306.2,918.6,Debit Card
82,2025-03-16,S002,P129,8,139.7,1117.6,Cash
